degree,slope,intercept,R2,RMSE,P_220,P_300,P_380
1,-0.0014625061064973144,0.6849544048200621,0.8524708485158875,0.0397412203971218,0.391304347826087,0.19,0.15730337078651685
2,0.0010289447972642895,0.044454486240025855,0.4416976651074265,0.0755628975876665,0.21739130434782608,0.46,0.38202247191011235
3,-0.0007388861748900841,0.47631656082071355,0.8846173596704039,0.01743068303794489,0.32608695652173914,0.23,0.20786516853932585
4,0.0007363418010096077,-0.12781455246159693,0.808651703821399,0.02339674057839091,0.050724637681159424,0.06,0.16853932584269662
5,0.00042134831460674164,-0.0939325842696629,0.9959828690946515,0.0017479044029330424,0.0,0.03,0.06741573033707865
6,2.4934864028659836e-05,0.005346984747326709,0.09348848921646158,0.005071763017206231,0.007246376811594203,0.02,0.011235955056179775
7,-1.0177495521901986e-05,0.01067470010313196,0.13512342443835057,0.0016818878115179132,0.007246376811594203,0.01,0.0056179775280898875
