country,gamma_published,nonlinear_gamma,nonlinear_gamma_error_percent,loglinear_gamma,loglinear_gamma_error_percent,nonlinear_C,loglinear_C,paper_implied_C,closer_method
Albania,1.108,,,2.889109754240993,160.7499778195842,,0.7999298808511662,0.9025270758122743,tie
Belgium,3.845,,,4.68151487899451,21.755913627945638,,1.1002654430512622,0.2600780234070221,tie
Bosnia&Herzegovina,1.376,,,2.3346239703510356,69.66743970574387,,1.2961033829181714,0.7267441860465117,tie
Croatia,1.514,,,2.8191880504680364,86.20792935720188,,1.1107358888435297,0.6605019815059445,tie
Czechia,2.266,,,5.195312265901606,129.27238596211853,,0.6331310121837679,0.44130626654898497,tie
Denmark,2.066,,,2.8577420338415758,38.32246049572004,,1.0697997216328266,0.48402710551790906,tie
Estonia,1.503,,,2.37357104978795,57.922225534793746,,1.5075093845620255,0.6653359946773121,tie
Hungary,1.726,,,3.1837808035480095,84.46006973047564,,1.0914270234812677,0.5793742757821553,tie
Ireland,2.081,,,2.3842547912410024,14.572551236953505,,1.5945958481729365,0.48053820278712156,tie
Latvia,1.409,,,2.409447636802107,71.00409061760874,,1.465539292186156,0.7097232079488999,tie
Lithuania,1.039,,,1.6473760264215154,58.55399676819206,,1.865064037174379,0.9624639076034649,tie
Netherlands,3.027,,,3.1105163815288916,2.7590479527218865,,1.7101616679768366,0.3303600925008259,tie
Portugal,3.748,,,3.834387491944775,2.3048957295831083,,1.329803558822522,0.26680896478121663,tie
Slovakia,2.248,,,4.883723874309449,117.24750330558044,,0.6458838354327455,0.4448398576512455,tie
Slovenia,1.663,,,4.3334615628866375,160.5809719114033,,0.7466459475311288,0.6013229104028863,tie
