network,voltage_kv,n_nodes,n_edges_complete,n_edges_simple,edges_removed,C,gamma,R2
220 kV,220.0,138,145,141,4,1.9428829461011436,1.57549622704107,0.9668430861306054
300 kV,300.0,100,119,117,2,1.8722630052659341,1.802873724595611,0.9448708799236402
380 kV,380.0,178,237,231,6,1.7400145158532374,2.113869636212591,0.9337043135174798
