Vbase,Total_Edges,MST,Delaunay1,Delaunay2,Delaunay3,Delaunay4,Delaunay5,None,Delaunay1_including_MST
220,141,0.6382978723404256,0.24113475177304963,0.07801418439716312,0.0425531914893617,0.0,0.0,0.0,0.8794326241134752
300,117,0.6410256410256411,0.23931623931623933,0.10256410256410256,0.017094017094017096,0.0,0.0,0.0,0.8803418803418803
380,231,0.5584415584415584,0.24242424242424243,0.15151515151515152,0.021645021645021644,0.012987012987012988,0.004329004329004329,0.008658008658008658,0.8008658008658008
