voltage_kv,n_nodes,n_original_lines,n_simple_edges,n_parallel_removed,mean_degree,A,gamma,R2,RMSE,n_fit_points
132,76,94,90,4,2.3684210526315788,3.9439215485959123,1.2357880094240745,0.9978470911812682,0.012930326689270312,5
220,138,145,141,4,2.0434782608695654,3.1813285193388987,1.2283191323410407,0.942868160767654,0.05690404983957256,5
300,100,119,117,2,2.34,4.800608998626964,1.1198643508224908,0.9981139721710102,0.012280000116454385,6
380,178,237,231,6,2.595505617977528,3.4966862012421043,1.4194889957053654,0.9883042456074723,0.03287245841484186,5
