system,graph_type,voltage,voltage_class,P(k=1),P(k=2),P(k=3),P(k=4),P(k=5),P(k=6),P(k=7),P(k=8),P(k=9),P(k=10),P(k=11),P(k=12),P(k=13),P(k=14),P(k=15),P(k=16),P(k=17),P(k=18),P(k=19),P(k=20),P(k=21),P(k=22),P(k=23),P(k=24),P(k=25),P(k=26),P(k=27),P(k=28),P(k=29),P(k=30),P(k=31),P(k=32),P(k=33),P(k=34),P(k=35),P(k=36),P(k=37),P(k=38),P(k=39),P(k=40),P(k=41),P(k=42),P(k=43),P(k=44),P(k=45),P(k=46),P(k=47),P(k=48),P(k=49),P(k=50),P(k=51),P(k=52),P(k=53),P(k=54),P(k=55),P(k=56),P(k=57),P(k=58),P(k=59),P(k=60),P(k=61),P(k=62),P(k=63),P(k=64),P(k=65),P(k=66),P(k=67),P(k=68),P(k=69),P(k=70),P(k=71),P(k=72),P(k=73),P(k=74),P(k=75),P(k=76),P(k=77),P(k=78),P(k=79),P(k=80),P(k=81),P(k=82),P(k=83),P(k=84),P(k=85)
Portugal,complete,150.0,<200 kV,0.3028842029035369,0.18800098518686248,0.13730012518850548,0.10027247654070581,0.07323059274565147,0.053481472672138985,0.039058374539110916,0.028524955380149833,0.020832230963036373,0.015214111332117787,0.011111108744751418,0.008114620357553708,0.005926236981375,0.004328025614497667,0.0031608263015161803,0.0023084019823935336,0.0016858628738195313,0.0012312126098488634,0.000899174253251353,0.0006566813328929234,0.00047958487624698504,0.0003502485025904349,0.0002557920811157194,0.00018680904637020446,0.00013642963321431912,9.963674233477867e-05,7.276630589112408e-05,5.314239655939112e-05,3.881074183291796e-05,2.834410525573551e-05,2.070015322579602e-05,1.5117652848989744e-05,1.1040663572372024e-05,8.063173121907557e-06,5.88866424265878e-06,4.300585642710924e-06,3.1407864514177936e-06,2.293766559475239e-06,1.675174390475306e-06,1.2234066395781242e-06,8.934734283629877e-07,6.525179293337755e-07,4.7654427606442565e-07,3.480279036648532e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,complete,220.0,200-299 kV,0.12083599322310645,0.24403877058976597,0.17629837051435926,0.12736138348388187,0.09200834900290392,0.06646862694697031,0.048018233302676364,0.034689308857693404,0.02506023371245887,0.01810400190731326,0.01307868429403581,0.009448296776524374,0.006825633983533808,0.004930971198208903,0.003562229826009136,0.0025734243464894616,0.0018590919706391014,0.0013430443214736765,0.0009702414285736524,0.0007009213431524806,0.000506359257415881,0.00036580380962230837,0.00026426381106782254,0.00019090933446591195,0.0001379166289888387,9.963366435097653e-05,7.197730356943706e-05,5.1997808801619995e-05,3.756423186319433e-05,2.7137134198390432e-05,1.9604395350967158e-05,1.4162597799284728e-05,1.023133704628189e-05,7.391317556155265e-06,5.339632050904135e-06,3.857454401387325e-06,2.7867003413208605e-06,2.0131667115818605e-06,1.4543509212405236e-06,1.0506514884955547e-06,7.590111397160886e-07,5.483244601290632e-07,3.961202910517096e-07,2.8616502890634674e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,complete,400.0,>=350 kV,0.15848735479906872,0.30382878001693614,0.19413116811172454,0.12403996234432402,0.07925523968169068,0.05064007516840131,0.032356437547355774,0.02067412118316144,0.013209714019675012,0.00844033673478329,0.005392946742861041,0.0034458192232400594,0.0022017035742043253,0.00140677682565891,0.0008988589837422409,0.000574325264617367,0.0003669646913963514,0.00023447181071049693,0.0001498155852778747,9.572455436813532e-05,6.11631312722403e-05,3.908013624841214e-05,2.4970223358849455e-05,1.5954705240214182e-05,1.0194246789222516e-05,6.513606239345198e-06,4.161863756927241e-06,2.6592196848800686e-06,1.6991063969077765e-06,1.0856427411498742e-06,6.936706044756252e-07,4.4322030560802483e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,simple,150.0,<200 kV,0.42840429593271157,0.2100064297147542,0.13284927089127538,0.08403994487366645,0.05316335036681587,0.033630933795512734,0.0212748011582082,0.01345835851818327,0.008513706551568594,0.005385738472362112,0.0034069977297182226,0.0021552538412089295,0.0013634054051541748,0.0008624850879564798,0.0005456047952686376,0.00034514752402902045,0.0002183390145695286,0.0001381204324652327,8.737446169203983e-05,5.527275305842514e-05,3.4965333937341864e-05,2.2118937626601083e-05,1.3992356046311643e-05,8.851511362430556e-06,5.599432514432789e-06,3.542179770198889e-06,2.2407694872767356e-06,1.4175022784991336e-06,8.967065648471447e-07,5.672531717489312e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,simple,220.0,200-299 kV,0.18060209569722474,0.3718859014619741,0.2031045035843902,0.11092498858948971,0.0605813897596119,0.03308636612790916,0.01807003153763685,0.00986890003298842,0.005389873706543412,0.0029436652996160735,0.0016076750343229978,0.0008780274769426232,0.0004795323892000811,0.0002618953487567953,0.00014303345351678696,7.811734313745822e-05,4.266358078349264e-05,2.3300602045140463e-05,1.2725562310889591e-05,6.9500322701793464e-06,3.795741781500692e-06,2.0730343560632636e-06,1.1321822423124752e-06,6.183383435294086e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,simple,400.0,>=350 kV,0.21425805819733545,0.3211286073086951,0.18988503108386745,0.11228001557351447,0.06639176255879038,0.039257797686862446,0.02321334183375391,0.013726170871552399,0.00811635688408702,0.004799244427766354,0.0028378184210460893,0.0016780169278805906,0.0009922202172526105,0.0005867050225579582,0.00034692175941331135,0.00020513665730982996,0.00012129838221567568,7.172437009109379e-05,4.241099651120814e-05,2.5077844849515756e-05,1.482866129142201e-05,8.768265256253235e-06,5.184721270050962e-06,3.065752901230739e-06,1.8127957824263612e-06,1.0719156613905733e-06,6.33829356992708e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,complete,110.0,<200 kV,0.19564040647303993,0.30489407668205265,0.18932338075961314,0.11755998310071239,0.07299864164261737,0.04532836379452468,0.02814655886814811,0.017477550694512855,0.010852650930090944,0.0067389323749683806,0.004184526881674653,0.0025983737852154883,0.001613455121357253,0.0010018718028353482,0.0006221103370214532,0.00038629819736782324,0.000239871110330841,0.00014894749694253443,9.248865699102899e-05,5.743065071650338e-05,3.566145026887951e-05,2.214390781601064e-05,1.3750216260607172e-05,8.53816990137409e-06,5.3017599056665196e-06,3.2921174469495156e-06,2.044233891641488e-06,1.2693630379462444e-06,7.882084964408333e-07,4.894365246893417e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,complete,220.0,200-299 kV,0.37757703426667666,0.36018955345291725,0.15175168795134536,0.06393459936669907,0.026936326385317663,0.011348560659227,0.004781269249334422,0.0020143995631766816,0.0008486879505251194,0.0003575612557375008,0.00015064435818308976,6.34680695635977e-05,2.6739772419713836e-05,1.1265750384003931e-05,4.746380400048405e-06,1.9997005200781835e-06,8.424950874060111e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,complete,400.0,>=350 kV,0.12243215789899153,0.39202791755506144,0.21690084387536213,0.12000669841896264,0.06639719517963451,0.03673617877838283,0.020325359039431813,0.011245595862706084,0.006221952884668323,0.003442476341108426,0.0019046501281442915,0.0010538030624407987,0.0005830471843621869,0.00032258780725622697,0.00017848108383238009,9.874984909357941e-05,5.4636225232489164e-05,3.0229080196633695e-05,1.6725117550601326e-05,9.253657579451693e-06,5.119855112448238e-06,2.832708704358109e-06,1.567278453688342e-06,8.671423742288148e-07,4.797717313178293e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,simple,110.0,<200 kV,0.24736629828893364,0.3637910948895367,0.1879499647088764,0.09710295202468928,0.050167518288785316,0.025918675372667302,0.013390690948806268,0.00691820093072871,0.003574237080141277,0.001846603016155995,0.0009540337204329043,0.0004928944292627305,0.00025465024264340915,0.0001315631547618517,6.797112585173844e-05,3.511677686595367e-05,1.8142821705543933e-05,9.373353958298047e-06,4.8426736399385e-06,2.5019313350686063e-06,1.2926042246112713e-06,6.678143632735208e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,simple,220.0,200-299 kV,0.6250000002928346,0.24999999962792763,0.08333333332720874,0.027777777815036098,0.009259259284778658,0.0030864197659595327,0.0010288065901087285,0.0003429355305214263,0.00011431184366886987,3.8103947943532505e-05,1.270131599914728e-05,4.233772005705677e-06,1.411257337231863e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,simple,400.0,>=350 kV,0.19355804561104772,0.4225569456283236,0.20114687224736943,0.0957505600925272,0.04557947958921131,0.021696885716551165,0.010328219059098486,0.0049164709777381466,0.0023403538147893786,0.0011140625060536886,0.0005303195010735257,0.00025244433924546776,0.00012016933996972767,5.720338317714615e-05,2.7230132475852166e-05,1.2962172400822233e-05,6.17029364427941e-06,2.937202382389218e-06,1.3981762185842375e-06,6.655641946689194e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,complete,110.0,<200 kV,0.12202446324489125,0.4062346862305886,0.21827202282110097,0.1172787001240265,0.06301445932012353,0.0338579987602882,0.018192079919752458,0.00977469974376725,0.0052519973253340605,0.0028219256476808424,0.0015162354182144259,0.0008146812249774374,0.00043773248557426605,0.00023519595524290127,0.00012637201758066796,6.79003463767717e-05,3.648321144467401e-05,1.9602620433349204e-05,1.0532590543370493e-05,5.6592160181588376e-06,3.0407263823945083e-06,1.633798198005186e-06,8.778483217891435e-07,4.716724972575651e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,complete,400.0,>=350 kV,0.23641253833219522,0.3073925824217982,0.18364749168712413,0.1097176806846093,0.06554932683381649,0.0391615482714922,0.023396531087321933,0.01397793731558111,0.008350927360517485,0.004989147268739236,0.0029806977590121925,0.0017807770851441477,0.0010639008995079748,0.0006356130328812375,0.0003797383081030615,0.0002268694554410115,0.0001355400514349269,8.097654885833392e-05,4.837833094783961e-05,2.8902971765236322e-05,1.7267684942722348e-05,1.0316342060014534e-05,6.163357384168625e-06,3.682213523359282e-06,2.1998880782797513e-06,1.314293026804784e-06,7.852063827076308e-07,4.6911080776537983e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,simple,110.0,<200 kV,0.1680176526170276,0.46881071929500867,0.20464226521994378,0.08932913645260945,0.0389933849236499,0.01702114369605004,0.007429961089268403,0.0032432792281081174,0.001415735563766369,0.0006179878590601769,0.0002697601188528209,0.00011775396661377132,5.14012104985849e-05,2.243732858176903e-05,9.794199572403592e-06,4.275301532198178e-06,1.866227357947369e-06,8.146336639232376e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,simple,400.0,>=350 kV,0.4800609915171611,0.21234610000928505,0.1256227238949854,0.07431767646359258,0.04396590731119869,0.02600997632970759,0.015387351474027984,0.009103068083719884,0.005385322397860819,0.0031859255651145377,0.0018847751270160314,0.0011150220577393142,0.0006596405966018646,0.0003902395595361353,0.00023086346506182644,0.00013657748989801674,8.079845263453635e-05,4.7799896988956033e-05,2.8278142435344114e-05,1.67291854159929e-05,9.896889278443975e-06,5.854942422728034e-06,3.4637500540826485e-06,2.0491344868883274e-06,1.2122561038738641e-06,7.171636955908216e-07,4.2426989200542647e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
