source,system,graph_type,voltage,voltage_label,voltage_class,constituent_voltages,n_nodes,n_edges,max_degree,n_fit_points,A,gamma,r2,rmse
Europe,Slovakia,complete,400.0,400 kV,>=350 kV,"(400.0,)",25,37,8,7,0.8775678421010085,1.6894952758972237,0.9957375264136316,0.018518813306020565
Europe,Slovenia,complete,110.0,<200 kV,<200 kV,"(110.0,)",136,218,16,15,0.8779755367551088,1.6098161657950711,0.9665632585521247,0.04184660626643435
Europe,Slovenia,complete,220.0,220 kV,200-299 kV,"(220.0,)",5,4,2,1,,,,
Europe,Slovenia,complete,400.0,400 kV,>=350 kV,"(400.0,)",8,11,6,5,0.7635874616678048,1.9413420143926088,0.9836209141873314,0.03102049792466716
N490,N490,complete,132.0,<200 kV,<200 kV,"(132.0,)",76,94,6,5,0.794183511074015,1.3593427150696382,0.9981832653471929,0.011820639918181958
N490,N490,complete,220.0,220 kV,200-299 kV,"(220.0,)",138,145,7,6,0.6346720498563694,1.2859682476687873,0.9454819524115832,0.05443871355658155
N490,N490,complete,300.0,300 kV,300-349 kV,"(300.0,)",100,119,7,6,0.8125015033196182,1.135109998010839,0.998738594310601,0.010047611756444065
N490,N490,complete,380.0,380 kV,>=350 kV,"(380.0,)",178,237,7,6,0.8548552724626073,1.4900484426778844,0.9910279236090958,0.02822631777217741
Europe,Albania,simple,110.0,<200 kV,<200 kV,"(110.0,)",122,134,7,6,0.8439435318386874,0.7898908273089337,0.9988156101710607,0.01028328420998908
Europe,Albania,simple,220.0,220 kV,200-299 kV,"(220.0,)",21,27,6,5,0.7692038469680317,1.6123997563385188,0.995877644990634,0.016701397383352346
Europe,Albania,simple,400.0,400 kV,>=350 kV,"(400.0,)",4,3,2,1,,,,
Europe,Belgium,simple,150.0,<200 kV,<200 kV,"(150.0,)",247,309,11,10,0.7032067894246775,1.507682083409502,0.9961734887186539,0.01311143870355696
Europe,Belgium,simple,220.0,220 kV,200-299 kV,"(220.0,)",28,30,5,4,0.6781185011351619,1.18266961627108,0.9971721810659726,0.012950729848645282
Europe,Belgium,simple,380.0,380 kV,>=350 kV,"(380.0,)",36,40,7,6,0.6845312479127714,1.2620557819991693,0.9604379118033333,0.04834209404027557
Europe,Bosnia&Herzegovina,simple,110.0,<200 kV,<200 kV,"(110.0,)",179,216,7,6,0.8149980649431368,1.1411531746400914,0.9970013217711612,0.01535762788248479
Europe,Bosnia&Herzegovina,simple,220.0,220 kV,200-299 kV,"(220.0,)",19,22,5,4,0.6717553358867386,1.511193433555713,0.9683654351526809,0.03824044793696915
Europe,Bosnia&Herzegovina,simple,400.0,400 kV,>=350 kV,"(400.0,)",11,10,4,3,0.5428457448334746,0.9828651166213709,0.994697516168791,0.014300472322328017
Europe,Croatia,simple,110.0,<200 kV,<200 kV,"(110.0,)",236,290,8,7,0.7810656375547879,1.257354114936375,0.9925442627928346,0.02228232553947275
Europe,Croatia,simple,220.0,220 kV,200-299 kV,"(220.0,)",18,18,4,3,0.6014962752812644,1.2241759404836998,0.9623724740108492,0.03835407366439767
Europe,Croatia,simple,400.0,400 kV,>=350 kV,"(400.0,)",6,5,2,1,,,,
Europe,Czechia,simple,110.0,<200 kV,<200 kV,"(110.0,)",510,728,18,17,0.7746699971411696,1.6184783572739139,0.9849110848390104,0.024082833462526907
Europe,Czechia,simple,220.0,220 kV,200-299 kV,"(220.0,)",18,20,5,4,0.669725160591189,1.388212144366668,0.9971960706987689,0.012218153419490726
Europe,Czechia,simple,400.0,400 kV,>=350 kV,"(400.0,)",39,47,6,5,0.6554172962436683,1.7834916184590153,0.9852287906030376,0.026662382888882542
Europe,Denmark,simple,165.0,<200 kV,<200 kV,"(132.0, 150.0, 165.0)",175,223,9,8,0.8092053260142612,1.4087178579269033,0.9969398039271756,0.014708774786706381
Europe,Denmark,simple,232.0,232 kV,200-299 kV,"(232.0,)",10,8,4,3,0.30455952735863795,2.005681380079529,0.9800530272873964,0.011531687564447104
Europe,Denmark,simple,400.0,400 kV,>=350 kV,"(400.0,)",42,48,6,5,0.5547414021120495,1.9286881144143786,0.9779719333842628,0.025423540701209002
Europe,Estonia,simple,110.0,<200 kV,<200 kV,"(110.0,)",151,185,7,6,0.8516888273275874,1.0839285290667457,0.9931440012530521,0.024245019741873864
Europe,Estonia,simple,330.0,330 kV,300-349 kV,"(330.0,)",12,16,4,3,0.9999999999999134,1.2852902598788822,0.9897170405395481,0.03472788662673234
Europe,Hungary,simple,120.0,<200 kV,<200 kV,"(120.0,)",381,467,9,8,0.748470429081274,1.2827410606722338,0.9920102166547772,0.02119160758330268
Europe,Hungary,simple,220.0,220 kV,200-299 kV,"(220.0,)",17,17,5,4,0.41796293278159785,2.4421025711583,0.9922247866761061,0.009960319044767567
Europe,Hungary,simple,400.0,400 kV,>=350 kV,"(400.0,)",25,33,6,5,0.8323559483151836,1.464413552817676,0.9908564555999718,0.026872301027947493
Europe,Ireland,simple,110.0,<200 kV,<200 kV,"(110.0,)",288,351,10,9,0.7359828982095445,1.4587642712747282,0.9963951100741,0.014125437480627646
Europe,Ireland,simple,220.0,220 kV,200-299 kV,"(220.0,)",45,59,6,5,0.9236656108640036,1.2619851409928653,0.9922156369528204,0.029281303469290813
Europe,Ireland,simple,275.0,275 kV,200-299 kV,"(275.0,)",13,13,3,2,0.8461538161458882,0.5865969419731888,0.9999999999999962,2.122642437827474e-08
Europe,Ireland,simple,400.0,400 kV,>=350 kV,"(400.0,)",5,4,2,1,,,,
Europe,Latvia,simple,110.0,<200 kV,<200 kV,"(110.0,)",145,178,7,6,0.8877285354476122,0.9498018441875883,0.9885209026465889,0.03245956111817573
Europe,Latvia,simple,330.0,330 kV,300-349 kV,"(330.0,)",17,20,5,4,0.8879777713839642,0.9779974792499814,0.9898194466505679,0.03393341931998441
Europe,Lithuania,simple,110.0,<200 kV,<200 kV,"(110.0,)",260,304,7,6,0.8646182025029168,0.9373612256404795,0.9989903053188289,0.009620051363312978
Europe,Lithuania,simple,330.0,330 kV,300-349 kV,"(330.0,)",20,22,5,4,0.8503118424425994,0.804628875826537,0.9969100879935534,0.018225409205090793
Europe,Netherlands,simple,150.0,<200 kV,<200 kV,"(110.0, 150.0)",299,380,8,7,0.7823637101532472,1.4272500713800655,0.9990767121100234,0.007897683193708017
Europe,Netherlands,simple,220.0,220 kV,200-299 kV,"(220.0,)",14,15,4,3,0.7882683925616122,0.9360816337187513,0.9974113881199957,0.015226943036628986
Europe,Netherlands,simple,400.0,400 kV,>=350 kV,"(400.0,)",34,39,5,4,0.8355568664012456,1.051870535927384,0.9795529625846463,0.045782073047864934
Europe,Portugal,simple,150.0,<200 kV,<200 kV,"(150.0,)",57,70,7,6,0.5715957040672884,2.1837734263373094,0.9737719576183365,0.029133306254431418
Europe,Portugal,simple,220.0,220 kV,200-299 kV,"(220.0,)",67,93,8,7,0.8193979043027753,1.6532575133494052,0.9970151446008451,0.014710068174405844
Europe,Portugal,simple,400.0,400 kV,>=350 kV,"(400.0,)",50,69,6,5,0.7857419418026645,1.9032288113252531,0.9840883803850663,0.03241020642482029
Europe,Slovakia,simple,110.0,<200 kV,<200 kV,"(110.0,)",242,334,15,14,0.7526337017110664,1.5142246135172956,0.9624129015993527,0.039218910508096165
Europe,Slovakia,simple,220.0,220 kV,200-299 kV,"(220.0,)",8,6,3,2,0.3749999997071654,0.910239227799045,1.0,2.1451191494040057e-10
Europe,Slovakia,simple,400.0,400 kV,>=350 kV,"(400.0,)",25,31,6,5,0.8064419543889523,1.347184416473745,0.9930663044909895,0.023702230800539865
Europe,Slovenia,simple,110.0,<200 kV,<200 kV,"(110.0,)",136,182,12,11,0.8319823473829724,1.206366192729941,0.9755977063136622,0.036925431522909925
Europe,Slovenia,simple,220.0,220 kV,200-299 kV,"(220.0,)",5,4,2,1,,,,
Europe,Slovenia,simple,400.0,400 kV,>=350 kV,"(400.0,)",8,8,4,3,0.5199390084828389,1.9050001918789965,0.8877227614411488,0.05223945500688654
N490,N490,simple,132.0,<200 kV,<200 kV,"(132.0,)",76,90,6,5,0.7817463137514437,1.2357879380142258,0.9978470911812648,0.01293032668928077
N490,N490,simple,220.0,220 kV,200-299 kV,"(220.0,)",138,141,6,5,0.6244136570495867,1.2283176029318656,0.9428681607637454,0.056904049841519075
N490,N490,simple,300.0,300 kV,300-349 kV,"(300.0,)",100,117,7,6,0.8047787845525864,1.119864577935534,0.9981139721710159,0.012280000116435458
N490,N490,simple,380.0,380 kV,>=350 kV,"(380.0,)",178,231,6,5,0.8545826356660128,1.419489379130676,0.9883042456076612,0.032872458414576436
