graph_type,voltage_class,european_n,mean_A,mean_gamma,degree_k,ccdf_P_K_ge_k,probability_P_K_eq_k,percentage_P_K_eq_k,remaining_probability_above_max_k
complete,<200 kV,15,0.8450429543262282,1.780680149116634,1,1.0,0.15495704567377178,15.495704567377178,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,2,0.8450429543262282,0.36311034422191146,36.31103442219115,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,3,0.48193261010431676,0.20708381159898542,20.708381159898543,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,4,0.27484879850533134,0.11810102826527061,11.81010282652706,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,5,0.15674777024006073,0.06735366115591902,6.735366115591902,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,6,0.0893941090841417,0.03841216065381531,3.8412160653815306,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,7,0.0509819484303264,0.021906664920246156,2.1906664920246155,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,8,0.029075283510080242,0.012493490596714885,1.2493490596714885,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,9,0.016581792913365357,0.007125105891675346,0.7125105891675346,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,10,0.009456687021690011,0.004063486787346338,0.4063486787346338,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,11,0.005393200234343673,0.002317428698179776,0.2317428698179776,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,12,0.003075771536163897,0.001321642237861051,0.1321642237861051,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,13,0.0017541292983028459,0.0007537397833514098,0.07537397833514098,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,14,0.001000389514951436,0.00042986191325580076,0.04298619132558008,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,15,0.0005705276016956353,0.0002451525958286708,0.02451525958286708,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,16,0.0003253750058669645,0.00013981186373627735,0.013981186373627734,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,17,0.00018556314213068716,7.973546914866226e-05,0.007973546914866226,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,18,0.0001058276729820249,4.547357334674865e-05,0.004547357334674865,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,19,6.035409963527625e-05,2.593382712863657e-05,0.002593382712863657,
complete,<200 kV,15,0.8450429543262282,1.780680149116634,20,3.442027250663968e-05,1.4790203189213196e-05,0.0014790203189213196,
