voltage_class,n_networks,mean,median,std,min,q1,q3,max
<200 kV,15,3.0610608486734625,2.847682119205298,0.5640307669041074,2.3114754098360657,2.709219348659004,3.456865303755256,4.218623481781377
200-299 kV,13,2.8992172468721615,2.888888888888889,1.0300619215791864,1.6,2.0,2.9523809523809526,5.0
300-349 kV,3,2.479084967320261,2.4705882352941178,0.18348094438511645,2.3,2.385294117647059,2.568627450980392,2.6666666666666665
>=350 kV,12,2.653173378908673,2.815,0.8796669529810693,1.5,1.7803030303030303,3.059230769230769,4.166666666666667
