system,graph_type,voltage,voltage_label,voltage_class,A,gamma,degree,fitted_ccdf,probability_mass,cumulative_probability_mass,remaining_tail_probability
Albania,complete,110.0,<200 kV,<200 kV,0.8572031770726173,0.8708294969575326,1,1.0,0.14279682292738272,0.14279682292738272,8.882209372999861e-07
Albania,complete,110.0,<200 kV,<200 kV,0.8572031770726173,0.8708294969575326,2,0.8572031770726173,0.5853275924396036,0.7281244153669864,8.882209372999861e-07
Albania,complete,110.0,<200 kV,<200 kV,0.8572031770726173,0.8708294969575326,3,0.27187558463301364,0.18564593045467734,0.9137703458216637,8.882209372999861e-07
Albania,complete,110.0,<200 kV,<200 kV,0.8572031770726173,0.8708294969575326,4,0.0862296541783363,0.05888055157409834,0.972650897395762,8.882209372999861e-07
Albania,complete,110.0,<200 kV,<200 kV,0.8572031770726173,0.8708294969575326,5,0.02734910260423797,0.018674900899680387,0.9913257982954424,8.882209372999861e-07
Albania,complete,110.0,<200 kV,<200 kV,0.8572031770726173,0.8708294969575326,6,0.008674201704557582,0.00592304104308526,0.9972488393385277,8.882209372999861e-07
Albania,complete,110.0,<200 kV,<200 kV,0.8572031770726173,0.8708294969575326,7,0.002751160661472322,0.0018785864185588803,0.9991274257570866,8.882209372999861e-07
Albania,complete,110.0,<200 kV,<200 kV,0.8572031770726173,0.8708294969575326,8,0.0008725742429134418,0.0005958234809319515,0.9997232492380185,8.882209372999861e-07
Albania,complete,110.0,<200 kV,<200 kV,0.8572031770726173,0.8708294969575326,9,0.0002767507619814903,0.00018897486797663686,0.9999122241059951,8.882209372999861e-07
Albania,complete,110.0,<200 kV,<200 kV,0.8572031770726173,0.8708294969575326,10,8.777589400485344e-05,5.993637691305744e-05,0.9999721604829082,8.882209372999861e-07
Albania,complete,110.0,<200 kV,<200 kV,0.8572031770726173,0.8708294969575326,11,2.7839517091796e-05,1.9009772653516072e-05,0.9999911702555617,8.882209372999861e-07
Albania,complete,110.0,<200 kV,<200 kV,0.8572031770726173,0.8708294969575326,12,8.829744438279927e-06,6.029250931576451e-06,0.9999971995064934,8.882209372999861e-07
Albania,complete,110.0,<200 kV,<200 kV,0.8572031770726173,0.8708294969575326,13,2.8004935067034766e-06,1.9122725694034903e-06,0.9999991117790628,8.882209372999861e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,1,1.0,0.21625412148595158,0.21625412148595158,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,2,0.7837458785140484,0.30167963965272393,0.5179337611386755,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,3,0.4820662388613245,0.18555704497503334,0.7034908061137088,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,4,0.29650919388629116,0.11413238553155924,0.8176231916452681,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,5,0.1823768083547319,0.07020052204903966,0.8878237136943078,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,6,0.11217628630569225,0.043178921328994826,0.9310026350233026,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,7,0.06899736497669742,0.02655848122942881,0.9575611162527314,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,8,0.04243888374726861,0.0163355846673334,0.9738967009200649,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,9,0.02610329907993521,0.010047687746840232,0.9839443886669051,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,10,0.01605561133309498,0.006180129521772614,0.9901245181886777,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,11,0.009875481811322365,0.0038012726776761718,0.9939257908663539,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,12,0.006074209133646194,0.002338085944500213,0.9962638768108542,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,13,0.0037361231891459806,0.0014381093774128752,0.997701986188267,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,14,0.0022980138117331054,0.0008845519927390586,0.9985865381810061,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,15,0.0014134618189940468,0.0005440700409493311,0.9991306082219554,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,16,0.0008693917780447157,0.00033464647854332483,0.9994652547004987,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,17,0.0005347452995013909,0.00020583428083274558,0.9996710889813315,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,18,0.00032891101866864533,0.00012660450320695201,0.9997976934845385,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,19,0.00020230651546169332,7.787186938653596e-05,0.9998755653539251,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,20,0.00012443464607515736,4.789741192571365e-05,0.9999234627658508,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,21,7.65372341494437e-05,2.946072936548969e-05,0.9999529234952163,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,22,4.707650478395402e-05,1.812069879877322e-05,0.9999710441940151,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,23,2.8955805985180797e-05,1.1145675345719793e-05,0.9999821898693608,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,24,1.7810130639461004e-05,6.855479487391301e-06,0.9999890453488482,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,25,1.0954651152069703e-05,4.216666782788635e-06,0.999993262015631,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,26,6.7379843692810685e-06,2.593586457340411e-06,0.9999958556020884,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,27,4.1443979119406574e-06,1.5952625754437674e-06,0.9999974508646639,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,28,2.54913533649689e-06,9.812137464741035e-07,0.9999984320784103,9.643968593044463e-07
Albania,complete,220.0,220 kV,200-299 kV,0.7837458785140484,2.0575991820164394,29,1.5679215900227865e-06,6.035247307183402e-07,0.9999990356031411,9.643968593044463e-07
Belgium,complete,150.0,<200 kV,<200 kV,0.8331902580782089,3.0996814241627315,1,1.0,0.1668097419217911,0.1668097419217911,7.871188214463412e-07
