network,voltage_levels,n_nodes,n_lines,mean_degree,C,gamma,R2,RMSE
220 kV,220,138,145,2.101449275362319,1.9095765360661638,1.6225956448618581,0.9687090513952004,0.06333941827313308
300 kV,300,100,119,2.38,1.856280690226597,1.8336493727554044,0.9443567312087927,0.08863875875325912
380 kV,380,178,237,2.662921348314607,1.7312607559725568,2.143304676172088,0.9455816241702376,0.08731409886260687
Aggregated HV lines,"220,300,380",416,501,2.4086538461538463,1.7987493871126807,1.900840864742987,0.9616200734354022,0.07187390846086225
