nominal_kv,linear_mw,quadratic_mw,exponential_mw,log_linear_exponential_mw
132,100.16983049927535,139.6158924400322,540.4101633955139,257.83960570688424
220,654.6896684043546,631.8569613117932,720.9314075187235,403.17439723202534
300,1158.7986119544266,1098.1603009141234,936.8827727264177,605.3225735596532
400,1788.934791392017,1706.2333934659027,1299.943232115918,1006.014581247335
