model,equation,parameter_1_name,parameter_1,parameter_1_std,parameter_2_name,parameter_2,parameter_2_std,parameter_3_name,parameter_3,parameter_3_std,r2,adjusted_r2,rmse,mae,rss,aic,aicc,log_space_r2,log_space_adjusted_r2,log_space_rmse,log_space_mae,log_space_rss
linear,MW = a*V + b,a,6.301361794375901,0.30696141772497826,b,-731.6099263583436,119.75092837068416,,,,0.9882741004738052,0.9824111507107077,151.1725431381545,126.27785759376984,159971.9645920003,74.25790595955326,77.25790595955326,,,,,
quadratic,MW = a*V^2 + b*V + c,a,0.0013996621138259169,0.0017484007325676886,b,5.100967445839651,1.5329605450623036,c,-558.0995230821045,249.8542813684308,0.9898933436260487,0.9797866872520975,140.34714576947374,119.76824461917163,137881.24927946538,75.21766552514099,83.21766552514099,,,,,
exponential,MW = A*exp(b*V),A,350.72591039995365,129.9249380893024,b,0.0032751770963144558,0.0005321963228153442,,,,0.922127148473204,0.8831907227098059,389.57660968606274,330.3484492898028,1062389.543701408,87.51084746516425,90.51084746516425,,,,,
log-linear,ln(MW) = m*V + c,m,0.005079903494576556,0.0007105006407397318,c,4.881790447005666,0.2771785195032484,,,,0.5255190616571637,0.2882785924857455,961.6326930595608,564.9923233615671,6473162.054526885,100.16085586532651,103.16085586532651,0.9109035457154158,0.8663553185731236,0.3499077829200487,0.32444295507309967,0.8570481958361676
