Vbase,n_edges_simple,n490_total_length_km,mst_total_length_km,line_to_mst_length_ratio
220,141,5686.4390005108025,4361.792382519405,1.303693184320312
300,117,4764.806476652034,2748.6762298149724,1.7334913530258809
380,231,18298.130655132074,7799.829452416829,2.3459654812660395
