228,150,110
228,1,110
228,116,110
228,61,110
228,62,110
228,263,110
263,193,110
193,108,110
108,10,110
108,199,110
10,199,110
199,205,110
205,232,110
232,144,110
10,93,110
93,94,110
94,181,110
144,212,110
212,181,110
221,181,110
181,194,110
194,36,110
36,93,110
194,25,110
25,112,110
112,55,110
194,88,110
194,29,110
29,154,110
154,18,110
18,176,110
176,23,110
23,189,110
189,58,110
58,222,110
222,142,110
142,197,110
197,91,110
91,103,110
103,211,110
211,209,110
209,34,110
34,60,110
142,12,110
12,197,110
56,40,110
40,190,110
190,160,110
160,85,110
85,90,110
90,104,110
104,184,110
184,86,110
184,187,110
104,163,110
163,33,110
33,36,110
56,126,110
126,257,110
257,182,110
182,175,110
175,69,110
126,38,110
38,171,110
127,89,110
89,102,110
102,241,110
241,41,110
41,207,110
207,101,110
101,14,110
14,183,110
183,106,110
183,3,110
101,66,110
66,48,110
48,8,110
8,3,110
3,237,110
237,180,110
180,107,110
107,27,110
3,157,110
3,7,110
7,188,110
188,44,110
107,118,110
118,229,110
66,83,110
83,51,110
51,155,110
155,48,110
155,8,110
51,70,110
70,80,110
80,69,110
80,78,110
70,74,110
74,75,110
75,80,110
76,80,110
70,79,110
70,81,110
77,81,110
81,37,110
37,2,110
2,81,110
2,134,110
134,72,110
72,69,110
2,136,110
136,113,110
113,239,110
239,186,110
186,31,110
31,69,110
31,71,110
31,69,110
70,152,110
37,152,110
51,152,110
73,169,110
152,96,110
95,63,110
96,95,110
95,152,110
169,63,110
63,264,110
264,96,110
264,260,110
260,109,110
109,231,110
231,105,110
105,170,110
229,114,110
114,226,110
226,168,110
168,215,110
215,204,110
204,243,110
243,52,110
52,173,110
243,167,110
167,17,110
17,242,110
242,64,110
69,227,110
227,19,110
19,261,110
261,22,110
22,53,110
53,165,110
53,164,110
164,67,110
67,218,110
218,69,110
69,47,110
47,164,110
19,84,110
84,216,110
84,201,110
201,92,110
216,92,110
92,262,110
262,46,110
92,146,110
146,233,110
233,32,110
32,198,110
32,147,110
147,196,110
196,177,110
177,146,110
233,230,110
147,11,110
11,179,110
179,110,110
110,158,110
158,161,110
161,111,110
111,143,110
143,147,110
85,13,110
13,161,110
161,185,110
185,20,110
185,265,110
265,161,110
265,45,110
45,5,110
5,20,110
20,99,110
99,5,110
13,99,110
93,68,110
68,137,110
137,153,110
153,208,110
208,213,110
213,214,110
214,35,110
35,30,110
30,217,110
35,217,110
217,138,110
138,99,110
214,178,110
178,120,110
120,228,110
120,115,110
120,115,110
120,62,110
115,238,110
115,57,110
238,234,110
234,99,110
57,125,110
125,16,110
125,65,110
65,99,110
125,128,110
128,258,110
258,225,110
225,54,110
54,119,110
119,45,110
119,43,110
43,45,110
43,172,110
172,125,110
147,39,110
39,156,110
156,149,110
149,148,110
148,124,110
124,15,110
15,59,110
59,166,110
198,98,110
98,145,110
145,166,110
166,129,110
129,224,110
224,223,110
223,259,110
259,256,110
256,50,110
50,195,110
50,26,110
50,28,110
28,82,110
82,141,110
141,130,110
130,24,110
130,49,110
49,202,110
202,203,110
202,210,110
203,131,110
131,140,110
140,133,110
133,135,110
135,139,110
139,191,110
139,122,110
122,132,110
132,200,110
200,121,110
121,210,110
121,159,110
159,223,110
223,100,110
223,4,110
4,192,110
192,117,110
117,97,110
97,236,110
236,220,110
220,165,110
133,235,110
235,9,110
135,162,110
162,6,110
170,174,110
242,87,110
243,244,110
244,240,110
240,249,110
244,249,110
249,250,110
250,251,110
251,252,110
250,252,110
174,252,110
6,252,110
252,253,110
6,253,110
253,254,110
253,9,110
255,87,110
243,245,110
243,246,110
246,247,110
247,42,110
42,248,110
243,248,110
3,95,330
95,109,330
3,109,330
69,95,330
69,60,330
60,12,330
12,151,330
151,206,330
206,88,330
88,21,330
88,214,330
214,123,330
123,185,330
185,219,330
219,69,330
147,53,330
147,223,330
223,50,330
223,50,330
53,109,330
109,243,330
109,135,330
135,223,330
