8,169,110
169,22,110
169,22,110
169,101,110
169,249,110
101,249,110
169,27,110
169,27,110
27,194,110
27,26,110
26,130,110
130,56,110
169,148,110
56,134,110
134,115,110
115,159,110
159,200,110
159,134,110
200,134,110
134,67,110
200,282,110
200,282,110
200,31,110
31,282,110
115,43,110
67,102,110
102,42,110
67,257,110
67,257,110
257,185,110
67,23,110
67,250,110
233,67,110
233,67,110
249,143,110
143,86,110
86,204,110
86,197,110
197,90,110
90,275,110
197,90,110
90,199,110
199,177,110
90,177,110
177,270,110
143,51,110
177,279,110
177,279,110
279,195,110
195,295,110
295,274,110
279,238,110
279,238,110
238,209,110
238,118,110
118,122,110
118,132,110
195,288,110
288,10,110
10,75,110
288,45,110
45,69,110
69,78,110
69,80,110
69,80,110
80,226,110
80,151,110
80,103,110
103,195,110
103,119,110
119,195,110
119,215,110
132,4,110
132,98,110
69,98,110
69,277,110
69,277,110
277,271,110
277,271,110
277,95,110
95,143,110
95,11,110
11,58,110
58,136,110
58,136,110
136,271,110
136,290,110
136,144,110
271,107,110
107,150,110
150,223,110
223,285,110
223,285,110
223,44,110
44,276,110
44,64,110
64,61,110
64,110,110
110,62,110
64,84,110
84,62,110
62,140,110
62,140,110
62,140,110
140,260,110
140,190,110
260,261,110
190,300,110
190,187,110
136,268,110
268,193,110
193,254,110
193,254,110
193,84,110
193,16,110
16,264,110
264,273,110
273,62,110
264,2,110
2,112,110
2,131,110
62,131,110
131,269,110
131,49,110
49,297,110
297,220,110
131,120,110
120,9,110
131,9,110
9,267,110
267,175,110
175,5,110
5,229,110
175,198,110
267,198,110
198,219,110
219,227,110
198,251,110
219,18,110
18,262,110
18,66,110
18,180,110
251,180,110
180,188,110
188,15,110
15,117,110
188,294,110
180,292,110
180,292,110
294,76,110
76,292,110
294,79,110
292,253,110
292,239,110
239,83,110
292,189,110
189,83,110
83,92,110
92,146,110
83,142,110
83,77,110
142,28,110
28,93,110
77,48,110
77,59,110
77,207,110
59,207,110
59,207,110
59,128,110
207,128,110
128,21,110
128,60,110
128,33,110
33,50,110
50,248,110
59,166,110
59,171,110
166,91,110
91,171,110
210,171,110
210,72,110
72,149,110
149,186,110
149,24,110
24,94,110
72,175,110
39,191,110
39,54,110
54,289,110
289,70,110
70,175,110
54,174,110
174,287,110
287,202,110
287,164,110
164,113,110
113,109,110
113,264,110
113,264,110
191,305,110
305,127,110
127,106,110
106,20,110
20,116,110
116,7,110
116,54,110
106,52,110
106,176,110
52,176,110
176,301,110
301,157,110
301,157,110
157,173,110
173,25,110
173,168,110
168,55,110
168,55,110
55,17,110
17,245,110
245,113,110
157,258,110
258,302,110
302,100,110
100,29,110
100,105,110
100,34,110
34,12,110
12,266,110
105,203,110
203,65,110
282,121,110
282,121,110
121,281,110
121,281,110
281,153,110
153,238,110
281,126,110
281,126,110
281,126,110
126,238,110
126,293,110
293,238,110
281,101,110
282,232,110
58,14,110
14,154,110
154,98,110
14,263,110
14,263,110
263,201,110
201,205,110
263,252,110
252,205,110
205,124,110
124,224,110
224,205,110
14,228,110
205,214,110
214,152,110
228,152,110
228,192,110
228,152,110
152,123,110
205,123,110
228,141,110
141,241,110
241,123,110
123,30,110
193,225,110
225,184,110
184,114,110
184,125,110
114,286,110
286,222,110
222,108,110
108,245,110
108,230,110
230,245,110
230,47,110
230,38,110
38,221,110
55,280,110
171,191,110
171,191,110
171,211,110
211,196,110
211,291,110
291,248,110
291,248,110
248,99,110
99,236,110
99,236,110
248,183,110
248,36,110
36,161,110
99,303,110
303,3,110
303,216,110
216,191,110
191,68,110
68,99,110
221,182,110
