97,51,110
97,141,110
51,141,110
141,67,110
51,67,110
67,62,110
67,135,110
135,150,110
62,150,110
150,147,110
147,52,110
147,52,110
135,92,110
92,52,110
92,52,110
52,59,110
59,20,110
20,106,110
106,13,110
13,64,110
64,93,110
93,86,110
52,47,110
47,87,110
87,16,110
16,86,110
86,39,110
71,39,110
71,39,110
39,105,110
39,105,110
105,22,110
105,22,110
39,22,110
39,22,110
39,42,110
39,42,110
42,86,110
42,44,110
44,84,110
84,38,110
38,29,110
29,140,110
140,143,110
143,52,110
52,56,110
56,12,110
12,74,110
74,60,110
60,72,110
72,99,110
72,99,110
99,32,110
99,142,110
32,43,110
43,41,110
41,85,110
85,146,110
146,104,110
146,66,110
66,79,110
79,129,110
129,130,110
130,137,110
129,137,110
129,18,110
18,131,110
131,137,110
129,17,110
17,69,110
17,89,110
89,132,110
132,65,110
65,1,110
132,133,110
133,139,110
133,139,110
133,54,110
133,61,110
54,101,110
101,152,110
152,91,110
91,95,110
152,102,110
152,78,110
78,94,110
78,50,110
50,8,110
152,35,110
35,58,110
58,129,110
137,5,110
129,151,110
151,96,110
96,63,110
63,36,110
36,30,110
30,75,110
75,77,110
77,25,110
25,45,110
45,70,110
70,90,110
90,9,110
70,84,110
70,134,110
134,142,110
134,104,110
63,4,110
4,7,110
7,24,110
24,2,110
2,73,110
2,73,110
7,19,110
7,19,110
7,40,110
40,80,110
80,3,110
3,2,110
3,28,110
3,28,110
2,68,110
68,100,110
100,15,110
15,14,110
15,14,110
14,6,110
6,98,110
6,68,110
68,80,110
80,57,110
80,57,110
57,76,110
57,76,110
80,11,110
11,149,110
149,53,110
53,48,110
48,21,110
21,82,110
80,136,110
136,83,110
83,82,110
136,82,110
80,88,110
88,138,110
138,82,110
82,33,110
33,145,110
145,153,110
153,55,110
55,46,110
46,49,110
49,26,110
26,34,110
34,10,110
34,10,110
10,81,110
10,81,110
81,37,110
81,37,110
10,27,110
27,128,110
128,82,110
34,107,110
34,107,110
107,118,110
107,118,110
118,144,110
118,144,110
10,31,110
10,31,110
10,123,110
123,126,110
126,42,110
42,120,110
42,120,110
119,120,110
119,120,110
34,121,110
121,23,110
23,122,110
121,122,110
122,125,110
125,126,110
125,126,110
124,126,110
124,126,110
31,122,110
31,124,110
124,34,110
23,109,110
23,109,110
109,110,110
109,108,110
108,112,110
112,109,110
112,111,110
111,113,110
112,113,110
112,114,110
113,114,110
114,108,110
108,127,110
127,126,110
114,22,110
114,22,110
22,117,110
22,117,110
117,116,110
117,116,110
117,114,110
114,115,110
117,115,110
22,99,330
99,103,330
103,70,330
99,43,330
43,129,330
129,14,330
14,148,330
70,148,330
148,80,330
14,80,330
80,82,330
10,14,330
10,42,330
82,42,330
42,22,330
42,70,330
