174,182,110
182,28,110
28,19,110
19,12,110
12,13,110
12,13,110
12,31,110
31,32,110
31,174,110
12,50,110
50,20,110
20,44,110
20,89,110
89,131,110
131,121,110
121,19,110
121,112,110
121,120,110
120,34,110
120,7,110
121,122,110
122,85,110
85,7,110
121,7,110
121,123,110
123,7,110
7,62,110
62,61,110
61,111,110
111,94,110
94,93,110
93,9,110
9,2,110
2,7,110
2,7,110
111,150,110
150,38,110
38,124,110
124,170,110
170,91,110
91,33,110
33,8,110
8,2,110
2,3,110
3,6,110
6,2,110
6,66,110
66,4,110
4,5,110
5,7,110
66,69,110
66,109,110
109,146,110
109,18,110
18,69,110
69,79,110
79,80,110
69,80,110
80,164,110
80,43,110
43,25,110
25,58,110
25,92,110
92,162,110
162,95,110
95,54,110
95,26,110
162,175,110
175,119,110
119,72,110
72,145,110
145,63,110
63,147,110
147,104,110
104,36,110
36,37,110
37,96,110
96,30,110
30,108,110
108,154,110
154,11,110
11,17,110
17,166,110
166,165,110
165,173,110
17,53,110
53,155,110
53,110,110
110,102,110
102,101,110
101,70,110
101,70,110
101,104,110
104,71,110
71,105,110
105,107,110
107,106,110
102,176,110
176,68,110
68,78,110
162,172,110
172,125,110
125,127,110
170,153,110
153,159,110
153,158,110
158,82,110
82,39,110
39,40,110
40,41,110
41,38,110
38,24,110
38,60,110
60,22,110
38,22,110
60,100,110
100,114,110
114,130,110
130,21,110
21,22,110
21,115,110
21,41,110
60,86,110
22,16,110
16,14,110
14,81,110
14,15,110
15,161,110
21,152,110
152,98,110
98,59,110
59,42,110
42,39,110
39,99,110
99,157,110
99,183,110
183,184,110
164,163,110
163,184,110
148,184,110
148,187,110
187,83,110
83,185,110
185,186,110
185,184,110
184,156,110
185,35,110
35,156,110
25,113,110
113,180,110
180,27,110
27,185,110
97,161,110
97,168,110
169,160,110
65,160,110
169,167,110
65,167,110
98,160,110
98,160,110
167,10,110
169,46,110
46,167,110
46,84,110
84,188,110
161,188,110
188,55,110
188,55,110
188,151,110
188,181,110
151,181,110
181,88,110
88,47,110
47,167,110
68,90,110
90,49,110
49,117,110
117,64,110
64,48,110
48,132,110
68,132,110
68,137,110
132,178,110
178,52,110
178,128,110
128,156,110
132,77,110
77,156,110
178,171,110
156,23,110
23,141,110
132,133,110
133,87,110
132,140,110
132,138,110
138,140,110
133,144,110
133,144,110
137,140,110
137,143,110
143,133,110
143,135,110
135,136,110
136,134,110
134,142,110
142,139,110
139,143,110
139,141,110
133,141,110
133,142,110
140,136,110
141,149,110
142,116,110
149,126,110
126,177,110
177,129,110
177,45,110
45,57,110
57,56,110
116,56,110
56,51,110
56,29,110
12,121,220
121,80,220
121,179,220
80,127,220
127,73,220
127,73,220
127,179,220
179,156,220
127,67,220
127,103,220
103,104,220
103,104,220
103,1,220
104,1,220
104,118,220
104,118,220
103,74,220
103,165,220
103,165,220
165,75,220
74,179,220
179,167,220
185,167,220
185,156,220
167,160,220
167,160,220
167,160,220
160,60,220
7,159,400
159,167,400
167,161,400
167,177,400
177,76,400
167,133,400
133,140,400
133,104,400
104,155,400
155,165,400
